*** ADMIN ***

"Yes","Oui"
"No","Non"

"Common Settings","Paramètres globaux"
"These data are common for all payment methods through Monetico.","Ces données sont communes à toutes les méthodes de paiement de Monetico."
"Empty the Cart after Cancellation","Réinitialiser le panier après l'annulation"
"Redirect to the Cart after Cancellation","Rediriger vers le panier après l'annulation"
"We will redirect the customer to the default failure page if the redirect option is disabled.","Nous allons rediriger le client vers la page d'échec par défaut si l'option de redirection est désactivé."
"Cancellation Message","Message d'annulation"
"We will replace the default message on the failure page by this one.","Nous allons remplacer le message de la page d'échec par celui-ci."
"Enable Automatic Cancellation","Activer l'anullation automatique"
"We will run a cron to cancel orders, in new status, older than the value you have configured.","Nous allons lancer un cron pour annuler les commandes en attente, antérieures à la valeur configurée."
"Enable Debug Mode","Activer le mode de débogage"
"We will trace the events in the /var/log/monetico.log file.","Nous allons reporter tous les évènements dans le fichier /var/log/monetico.log à la racine de Magento."

"Onetime Payment","Paiement en une seule fois"
"The purchases are fully paid in one time.","Les achats sont réglés en une fois."
"Enable this Solution","Activer la solution"
"Title","Titre"
"Sort Order","Ordre de tri"
"API Monetico Settings","Paramètres de l'API Monetico"
"These information are available in your Monetico account.","Ces informations sont disponibles dans votre compte Monetico."
"Version","Version"
"Environment","Environnement"
"TPE Number","Numéro du TPE"
"Site Code","Code société"
"Security Hash Key","Clé de sécurité"
"Order Status Settings","Paramètres des statuts de commande"
"New Order Status","Statut d'une nouvelle commande"
"Payment Validated Order Status","Statut d'une commande avec un paiement validé"
"Payment Refused Order Status","Statut d'une commande avec un paiement refusé "
"Payment Canceled Order status","Statut d'une commande avec un paiement annulé"
"Create Invoice","Créer une facture"
"Country Specific Settings","Paramètres spécifiques des pays"
"Payment from Applicable Countries","Mode de paiement autorisé pour les pays applicables"
"Payment from Specific Countries","Mode de paiement autorisé pour les pays spécifiques"
"3D Secure Verification Settings","Paramètres du 3DSecure"
"Enable 3DSecure Verification","Activer la vérification 3DSecure"
"Maximum Amount before 3D-Secure","Montant maximum avant l'activation du 3DSecure"
"Monetico Interface Settings","Paramètres de l'interface de Monetico"
"Include in Iframe","Intégration dans un Iframe"
"You should have signed the option in your Monetico contract.","Vous devez avoir signé cette option dans votre contrat Monetico."
"Locale Configuration","Configuration de la langue"
"We will use the current store language in preference.","Nous allons utiliser la langue courante du client en préférence."
"Transaction Description","Description de la transaction"
"Transaction Message","Message de la transaction"
"We will set a default message if the value is empty.","Un message par défaut sera mis en place si la valeur est vide."
"Options Settings","Paramètres des options"
"Enable or disable Monetico options and configure them.","Activer ou désactiver les options Monetico et les configurer."
"Enable the Payment Express Option","Activer l'option Paiement Express"
"Force the Credit Card Input","Forcer l'autocomplétion de la carte de crédit."
"Enable all Payment Options","Activer toutes les options de paiement."
"We will display the payment options on the Monetico payment page, from your settings.","Nous allons afficher toutes les options de paiement sur la page de paiement Monetico."
"Disable Specific Payment Options","Désactiver certaines options de paiement"

"Multi-time Payment","Paiement fractionné"
"The purchases are paid in several times.","Les achats sont réglés en plusieurs fois."
"Minimum Amount","Montant minimum"
"Maximum Amount","Montant maximum"
"Several Payment Configuration","Configuration du paiement fractionné"
"We will split equally the payment in many capture amount if the values are empty. The total terms rate should be equal to 100%.","Nous allons éclater le paiement en plusieurs captures si les valeurs sont vides. Le total des échéances doit être égal à 100%."
"Number of Payment Terms","Nombre d'échéances de paiement"
"We will process the payment in many several monthly captures.","Nous allons effectuer les paiements en plusieurs captures mensuelles."
"1st Rate Term (%)","Part de la 1ère échéance (%)"
"2nd Rate Term (%)","Part de la 2ème échéance (%)"
"3rd Rate Term (%)","Part de la 3ème échéance (%)"
"4th Rate Term (%)","Part de la 4ème échéance (%)"
"We will capture this order rate amount on the first term.","Nous allons capturer cette part du montant de la commande pour la première échéance."
"We will capture this order rate amount on the second term.","Nous allons capturer cette part du montant de la commande pour la deuxième échéance."
"We will capture this order rate amount on the third term.","Nous allons capturer cette part du montant de la commande pour la troisième échéance."
"We will capture this order rate amount on the fourth term.","Nous allons capturer cette part du montant de la commande pour la quatrième échéance."

"Cofidis 3xCB Payment","Paiement par Cofidis avec 3xCB"
"The purchases are paid in 3 times by the customer, but the merchant is paid in one time.","Les achats sont réglés en 3 fois par le client, mais le marchand est payé en une seule fois."

"Cofidis 4xCB Payment","Paiement par Cofidis avec 4xCB"
"The purchases are paid in 4 times by the customer, but the merchant is paid in one time.","Les achats sont réglés en 4 fois par le client, mais le marchand est payé en une seule fois."

"PayPal Payment","Paiement par PayPal"
"PayPal is a worldwide payment method.","PayPal est une méthode de paiement international."







*** FRONT ***

"Payment through the CM-CIC service.","Paiement via le service CM-CIC."
"Payment through the Cofidis service.","Paiement via le service Cofidis."
"Payment through the PayPal service.","Paiement via le service Paypal."






"The order has been canceled by the customer.","La commande a été annulée par le client."
"An error has occurred during the cancellation.","Une erreur a eu lieu lors de l'annulation de la commande."
"Your order has been canceled.","Votre commande a été annulée."
"Some required parameters are missing.","Tous les paramètres requis ne sont pas présents."
"The order %1 does not exists.","La commande %1 n'existe pas."
"The order %1 has a valid MAC.","La commande %1 a un MAC valide."
"The payment of the order %1 has been validated.","Le paiement de la commande %1 a été validé."
"The status of the order %1 is %2.","Statut de la commande %1 : %2."
"The payment has been refused. Order: %1","Paiement refusé pour la commande %1."
"The order %1 has been canceled or held.","La commande %1 a été annulée ou suspendue."
"Returned MAC is invalid. Order canceled.","Le MAC retourné est invalide. La commande est annulée."
"Returned MAC is invalid. Order %1 canceled.","Le MAC retourné est invalide. La commande %1 est annulée."
"Payment accepted by Monetico","Paiement accepté par Monetico"
"Used payment method: %1","Méthode de paiement utilisée : %1"
"Captured amount: %1","Montant capturé : %1"
"Authorization number: %1","Numéro de l'autorisation : %1"
"3D secure status: %1","Statut du 3DSecure : %1"
"The visual cryptogram has been seized: %1","Le cryptogramme a été saisi : %1"
"CC validity: %1","Date de validité de la carte : %1"
"CC type: %1","Type de carte : %1"
"Country code from the CC: %1","Code pays de la carte bancaire : %1"
"BIN code: %1","Code BIN : %1"
"Refusal reason: %1","Motif du refus : %1"
"Payment from %code_societe% through %payment_method% for the Order n°%order_id%","Paiement depuis %code_societe% avec %payment_method% pour la commande n°%order_id%"
"American Express","American Express"
"Credit Card CB","Carte de crédit CB"
"Mastercard","Mastercard"
"VISA","VISA"
"n/a","Non disponible"
"No Secure","La transaction ne s’est pas faite selon le protocole 3DSecure."
"Low Risk","La transaction s’est faite selon le protocole 3DS et le niveau de risque est faible."
"Unable but Authenticate","La transaction ne peut pas se faire selon le protocole 3DSecure, le porteur a cependant été authentifié par le biais de 3DSecure."
"High Risk","La transaction s’est faite selon le protocole 3DS et le niveau de risque est élevé."
"Critical Risk","La transaction s’est faite selon le protocole 3DS et le niveau de risque est très élevé."
"Need Infos","La banque du client demande des informations complémentaires."
"Refused","La banque du client refuse d'accorder l'autorisation."
"Forbidden","La banque du client interdit d'accorder l'autorisation."
"Blocked by the Fraud Filter","Le paiement a été bloqué par le filtrage du Module Prévention Fraude."
"Blocked by the Fraud Scoring","Le paiement a été bloqué par le scoring du Module Prévention Fraude."
"Failed to Authenticate","Le paiement a été refusé en raison du statut 3DSecure."
"Invoice","Facture"
"Shipment","Livraison"
"Cofidis 1euro Payment","Paiement par Cofidis avec 1euro"
"Cofidis 4xCB Payment","Paiement par Cofidis en 4xCB"
"PayPal Payment","Paiement par PayPal"
"Authorize","Autorisation uniquement"
"Authorize and Capture","Autorisation et capture"
"Version %1","Version %1"
"Place Payment","Effectuez le Paiement"
"You will be redirected to %1 in a few seconds.","Vous allez être redirigé vers %1 dans un instant."
"Monetico CM-CIC Desjardins Payment","Monetico CM-CIC Desjardins Paiement"
"Delay Before Cancellation","Délai avant l'annulation"
"The cancel delay in seconds. If field is empty default value 2700 will be saved.","Le délai d'annulation est en secondes. Si le champ est vide, la valeur 2700 sera sauvegardée par défaut."
